web-1  | 192.168.65.1 - - [30/Mar/2026:21:22:21 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50245 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:22:37 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50355 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:22:52 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50415 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:23:07 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50419 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:23:22 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50402 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:23:37 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50415 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:23:52 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50383 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:24:07 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50495 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:24:22 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50516 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:24:37 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50469 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:24:52 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50457 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:25:07 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50525 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:25:22 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 57639 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:25:37 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 57558 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:25:52 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50459 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:26:08 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50477 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:26:23 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50357 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:26:38 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50408 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:26:53 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50415 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:27:08 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50396 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:27:23 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 43246 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:27:38 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50481 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:27:53 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50500 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:28:08 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50530 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:28:23 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50480 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:28:38 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50533 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:28:53 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 57518 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:29:08 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 64663 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:29:24 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50438 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:29:39 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50333 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:29:54 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50366 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:30:09 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50520 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:30:24 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50405 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:30:39 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50366 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:30:54 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50326 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:31:09 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50570 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:31:24 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50527 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:31:39 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50333 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:31:54 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 57552 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:32:09 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 64603 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:32:25 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50375 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:32:40 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50592 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:32:55 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50519 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:33:10 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50512 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:33:25 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50516 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:33:40 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50348 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:33:55 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50541 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:34:10 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50529 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:34:25 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50498 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:34:40 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 43418 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:34:56 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 57499 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:35:11 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50406 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:35:26 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50615 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:35:41 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50453 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:35:56 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50521 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:36:11 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50375 "-" "curl/8.7.1"
