endpoint	n	p50_s	p95_s	max_s
dashboard	12	0.065116	0.161875	0.161875
monitoring	12	0.014426	0.039707	0.039707
api_history_tail	20	0.003850	0.005333	0.009254
api_history_chunk	20	0.023799	0.062275	0.098408
api_history_meta	20	0.039819	0.066265	0.116500
api_alerts	20	0.003932	0.008092	0.009677
api_stream_first_event	10	0.030001	0.042284	0.042284
