sample	ts_utc	http_status	curl_rc	body_bytes	has_data	has_unauth_error	has_internal_error
1	2026-03-30T20:46:31Z	200	28	28170	1	0	0
2	2026-03-30T20:46:46Z	200	28	28187	1	0	0
3	2026-03-30T20:47:01Z	200	28	28186	1	0	0
4	2026-03-30T20:47:16Z	200	28	28128	1	0	0
5	2026-03-30T20:47:31Z	200	28	28205	1	0	0
6	2026-03-30T20:47:46Z	200	28	28173	1	0	0
7	2026-03-30T20:48:01Z	200	28	28158	1	0	0
8	2026-03-30T20:48:16Z	200	28	28175	1	0	0
9	2026-03-30T20:48:31Z	200	28	28155	1	0	0
10	2026-03-30T20:48:46Z	200	28	28256	1	0	0
11	2026-03-30T20:49:01Z	200	28	28256	1	0	0
12	2026-03-30T20:49:17Z	200	28	28284	1	0	0
13	2026-03-30T20:49:32Z	200	28	28312	1	0	0
14	2026-03-30T20:49:47Z	200	28	28286	1	0	0
15	2026-03-30T20:50:02Z	200	28	35472	1	0	0
16	2026-03-30T20:50:17Z	200	28	28278	1	0	0
17	2026-03-30T20:50:32Z	200	28	28220	1	0	0
18	2026-03-30T20:50:47Z	200	28	28111	1	0	0
19	2026-03-30T20:51:02Z	200	28	28099	1	0	0
20	2026-03-30T20:51:17Z	200	28	28100	1	0	0
21	2026-03-30T20:51:32Z	200	28	28167	1	0	0
22	2026-03-30T20:51:47Z	200	28	28163	1	0	0
23	2026-03-30T20:52:02Z	200	28	28114	1	0	0
24	2026-03-30T20:52:17Z	200	28	28065	1	0	0
25	2026-03-30T20:52:32Z	200	28	28159	1	0	0
26	2026-03-30T20:52:47Z	200	28	28201	1	0	0
27	2026-03-30T20:53:02Z	200	28	28164	1	0	0
28	2026-03-30T20:53:18Z	200	28	28233	1	0	0
29	2026-03-30T20:53:33Z	200	28	28148	1	0	0
30	2026-03-30T20:53:48Z	200	28	28147	1	0	0
31	2026-03-30T20:54:03Z	200	28	35236	1	0	0
32	2026-03-30T20:54:18Z	200	28	28143	1	0	0
33	2026-03-30T20:54:40Z	200	28	13979	1	0	0
34	2026-03-30T20:54:55Z	200	28	28139	1	0	0
35	2026-03-30T20:55:10Z	200	28	28184	1	0	0
36	2026-03-30T21:12:19Z	200	28	28168	1	0	0
37	2026-03-30T21:12:34Z	200	28	28181	1	0	0
38	2026-03-30T21:12:49Z	200	28	28122	1	0	0
39	2026-03-30T21:13:04Z	200	28	28250	1	0	0
40	2026-03-30T21:13:19Z	200	28	28218	1	0	0
41	2026-03-30T21:13:34Z	200	28	28163	1	0	0
42	2026-03-30T21:13:49Z	200	28	28228	1	0	0
43	2026-03-30T21:14:04Z	200	28	28259	1	0	0
44	2026-03-30T21:14:19Z	200	28	28246	1	0	0
45	2026-03-30T21:14:34Z	200	28	28332	1	0	0
46	2026-03-30T21:14:49Z	200	28	28134	1	0	0
47	2026-03-30T21:15:04Z	200	28	28141	1	0	0
48	2026-03-30T21:15:19Z	200	28	28221	1	0	0
49	2026-03-30T21:15:35Z	200	28	28146	1	0	0
50	2026-03-30T21:15:50Z	200	28	28243	1	0	0
51	2026-03-30T21:16:05Z	200	28	28280	1	0	0
52	2026-03-30T21:16:20Z	200	28	28274	1	0	0
53	2026-03-30T21:16:35Z	200	28	28282	1	0	0
54	2026-03-30T21:16:50Z	200	28	28277	1	0	0
55	2026-03-30T21:17:05Z	200	28	28256	1	0	0
56	2026-03-30T21:17:20Z	200	28	28217	1	0	0
57	2026-03-30T21:17:35Z	200	28	28200	1	0	0
58	2026-03-30T21:17:50Z	200	28	28251	1	0	0
59	2026-03-30T21:18:05Z	200	28	28246	1	0	0
60	2026-03-30T21:18:20Z	200	28	28249	1	0	0
61	2026-03-30T21:18:35Z	200	28	28189	1	0	0
62	2026-03-30T21:18:50Z	200	28	28254	1	0	0
63	2026-03-30T21:19:06Z	200	28	28269	1	0	0
64	2026-03-30T21:19:21Z	200	28	28275	1	0	0
65	2026-03-30T21:19:36Z	200	28	28257	1	0	0
66	2026-03-30T21:19:51Z	200	28	28201	1	0	0
67	2026-03-30T21:20:06Z	200	28	28314	1	0	0
68	2026-03-30T21:20:21Z	200	28	28251	1	0	0
69	2026-03-30T21:20:36Z	200	28	28270	1	0	0
70	2026-03-30T21:20:51Z	200	28	28165	1	0	0
71	2026-03-30T21:21:06Z	200	28	28057	1	0	0
72	2026-03-30T21:21:21Z	200	28	28168	1	0	0
73	2026-03-30T21:21:36Z	200	28	28160	1	0	0
74	2026-03-30T21:21:51Z	200	28	28087	1	0	0
75	2026-03-30T21:22:06Z	200	28	28109	1	0	0
76	2026-03-30T21:22:21Z	200	28	28125	1	0	0
77	2026-03-30T21:22:36Z	200	28	28147	1	0	0
78	2026-03-30T21:22:52Z	200	28	28212	1	0	0
79	2026-03-30T21:23:07Z	200	28	28212	1	0	0
80	2026-03-30T21:23:22Z	200	28	28182	1	0	0
81	2026-03-30T21:23:37Z	200	28	28192	1	0	0
82	2026-03-30T21:23:52Z	200	28	28186	1	0	0
83	2026-03-30T21:24:07Z	200	28	28244	1	0	0
84	2026-03-30T21:24:22Z	200	28	28262	1	0	0
85	2026-03-30T21:24:37Z	200	28	28209	1	0	0
86	2026-03-30T21:24:52Z	200	28	28236	1	0	0
87	2026-03-30T21:25:07Z	200	28	28286	1	0	0
88	2026-03-30T21:25:22Z	200	28	28282	1	0	0
89	2026-03-30T21:25:37Z	200	28	35349	1	0	0
90	2026-03-30T21:25:52Z	200	28	28210	1	0	0
91	2026-03-30T21:26:08Z	200	28	28245	1	0	0
92	2026-03-30T21:26:23Z	200	28	28177	1	0	0
93	2026-03-30T21:26:38Z	200	28	28221	1	0	0
94	2026-03-30T21:26:53Z	200	28	28192	1	0	0
95	2026-03-30T21:27:08Z	200	28	28227	1	0	0
96	2026-03-30T21:27:23Z	200	28	28157	1	0	0
97	2026-03-30T21:27:38Z	200	28	28226	1	0	0
98	2026-03-30T21:27:53Z	200	28	28238	1	0	0
99	2026-03-30T21:28:08Z	200	28	28285	1	0	0
100	2026-03-30T21:28:23Z	200	28	28241	1	0	0
101	2026-03-30T21:28:38Z	200	28	28253	1	0	0
102	2026-03-30T21:28:53Z	200	28	28192	1	0	0
103	2026-03-30T21:29:08Z	200	28	35289	1	0	0
104	2026-03-30T21:29:23Z	200	28	28216	1	0	0
105	2026-03-30T21:29:39Z	200	28	28150	1	0	0
106	2026-03-30T21:29:54Z	200	28	28136	1	0	0
107	2026-03-30T21:30:09Z	200	28	28260	1	0	0
108	2026-03-30T21:30:24Z	200	28	28200	1	0	0
109	2026-03-30T21:30:39Z	200	28	28199	1	0	0
110	2026-03-30T21:30:54Z	200	28	28138	1	0	0
111	2026-03-30T21:31:09Z	200	28	28287	1	0	0
112	2026-03-30T21:31:24Z	200	28	28283	1	0	0
113	2026-03-30T21:31:39Z	200	28	28171	1	0	0
114	2026-03-30T21:31:54Z	200	28	28224	1	0	0
115	2026-03-30T21:32:09Z	200	28	35311	1	0	0
116	2026-03-30T21:32:25Z	200	28	21119	1	0	0
117	2026-03-30T21:32:40Z	200	28	28271	1	0	0
118	2026-03-30T21:32:55Z	200	28	28229	1	0	0
119	2026-03-30T21:33:10Z	200	28	28264	1	0	0
120	2026-03-30T21:33:25Z	200	28	28275	1	0	0
121	2026-03-30T21:33:40Z	200	28	28154	1	0	0
122	2026-03-30T21:33:55Z	200	28	28285	1	0	0
123	2026-03-30T21:34:10Z	200	28	28280	1	0	0
124	2026-03-30T21:34:25Z	200	28	28260	1	0	0
125	2026-03-30T21:34:40Z	200	28	28271	1	0	0
126	2026-03-30T21:34:56Z	200	28	35269	1	0	0
127	2026-03-30T21:35:11Z	200	28	28175	1	0	0
128	2026-03-30T21:35:26Z	200	28	28330	1	0	0
129	2026-03-30T21:35:41Z	200	28	28243	1	0	0
130	2026-03-30T21:35:56Z	200	28	28258	1	0	0
131	2026-03-30T21:36:11Z	200	28	28172	1	0	0
132	2026-03-30T21:36:26Z	200	28	28138	1	0	0
133	2026-03-30T21:36:41Z	200	28	28114	1	0	0
134	2026-03-30T21:36:56Z	200	28	28248	1	0	0
135	2026-03-30T21:37:11Z	200	28	28239	1	0	0
136	2026-03-30T21:37:26Z	200	28	28151	1	0	0
137	2026-03-30T21:37:41Z	200	28	28251	1	0	0
138	2026-03-30T21:37:57Z	200	28	35238	1	0	0
139	2026-03-30T21:38:12Z	200	28	28167	1	0	0
140	2026-03-30T21:38:27Z	200	28	28210	1	0	0
141	2026-03-30T21:38:42Z	200	28	28195	1	0	0
142	2026-03-30T21:38:57Z	200	28	28225	1	0	0
143	2026-03-30T21:39:12Z	200	28	28267	1	0	0
144	2026-03-30T21:39:27Z	200	28	28321	1	0	0
145	2026-03-30T21:39:42Z	200	28	28224	1	0	0
146	2026-03-30T21:39:57Z	200	28	28262	1	0	0
147	2026-03-30T21:40:12Z	200	28	28258	1	0	0
148	2026-03-30T21:40:27Z	200	28	21164	1	0	0
149	2026-03-30T21:40:43Z	200	28	28185	1	0	0
150	2026-03-30T21:40:58Z	200	28	28281	1	0	0
151	2026-03-30T21:41:13Z	200	28	28154	1	0	0
152	2026-03-30T21:41:28Z	200	28	28196	1	0	0
153	2026-03-30T21:41:43Z	200	28	28191	1	0	0
154	2026-03-30T21:41:58Z	200	28	28156	1	0	0
155	2026-03-30T21:42:13Z	200	28	28246	1	0	0
156	2026-03-30T21:42:28Z	200	28	28179	1	0	0
157	2026-03-30T21:42:43Z	200	28	28112	1	0	0
158	2026-03-30T21:42:58Z	200	28	35309	1	0	0
