sample	ts_utc	http_status	curl_rc	body_bytes	has_data	has_unauth_error	has_internal_error
159	2026-03-30T21:43:14Z	200	28	28124	1	0	0
160	2026-03-30T21:43:29Z	200	28	28166	1	0	0
161	2026-03-30T21:43:44Z	200	28	28248	1	0	0
162	2026-03-30T21:43:59Z	200	28	28099	1	0	0
163	2026-03-30T21:44:14Z	200	28	28131	1	0	0
164	2026-03-30T21:44:29Z	200	28	28325	1	0	0
165	2026-03-30T21:44:44Z	200	28	28306	1	0	0
166	2026-03-30T21:44:59Z	200	28	28324	1	0	0
167	2026-03-30T21:45:14Z	200	28	28222	1	0	0
168	2026-03-30T21:45:29Z	200	28	28264	1	0	0
169	2026-03-30T21:45:44Z	200	28	35359	1	0	0
170	2026-03-30T21:46:00Z	200	28	28211	1	0	0
171	2026-03-30T21:46:15Z	200	28	28187	1	0	0
172	2026-03-30T21:46:30Z	200	28	28090	1	0	0
173	2026-03-30T21:46:45Z	200	28	28159	1	0	0
174	2026-03-30T21:47:00Z	200	28	28144	1	0	0
175	2026-03-30T21:47:15Z	200	28	28064	1	0	0
176	2026-03-30T21:47:30Z	200	28	28125	1	0	0
177	2026-03-30T21:47:45Z	200	28	28213	1	0	0
178	2026-03-30T21:48:00Z	200	28	28186	1	0	0
179	2026-03-30T21:48:15Z	200	28	28135	1	0	0
180	2026-03-30T21:48:30Z	200	28	28213	1	0	0
181	2026-03-30T21:48:45Z	200	28	28094	1	0	0
182	2026-03-30T21:49:01Z	200	28	21046	1	0	0
183	2026-03-30T21:49:16Z	200	28	28123	1	0	0
184	2026-03-30T21:49:31Z	200	28	28134	1	0	0
185	2026-03-30T21:49:46Z	200	28	28132	1	0	0
186	2026-03-30T21:50:01Z	200	28	28161	1	0	0
187	2026-03-30T21:50:16Z	200	28	28190	1	0	0
188	2026-03-30T21:50:31Z	200	28	28180	1	0	0
189	2026-03-30T21:50:46Z	200	28	28136	1	0	0
190	2026-03-30T21:51:01Z	200	28	28254	1	0	0
191	2026-03-30T21:51:16Z	200	28	28233	1	0	0
192	2026-03-30T21:51:31Z	200	28	28124	1	0	0
193	2026-03-30T21:51:46Z	200	28	28231	1	0	0
194	2026-03-30T21:52:01Z	200	28	35314	1	0	0
195	2026-03-30T21:52:16Z	200	28	28140	1	0	0
196	2026-03-30T21:52:32Z	200	28	28302	1	0	0
197	2026-03-30T21:52:47Z	200	28	28290	1	0	0
198	2026-03-30T21:53:02Z	200	28	28239	1	0	0
199	2026-03-30T21:53:17Z	200	28	28244	1	0	0
200	2026-03-30T21:53:32Z	200	28	28247	1	0	0
201	2026-03-30T21:53:47Z	200	28	28138	1	0	0
202	2026-03-30T21:54:02Z	200	28	28209	1	0	0
203	2026-03-30T21:54:17Z	200	28	28180	1	0	0
204	2026-03-30T21:54:32Z	200	28	28111	1	0	0
205	2026-03-30T21:54:47Z	200	28	28112	1	0	0
206	2026-03-30T21:55:02Z	200	28	28129	1	0	0
207	2026-03-30T21:55:17Z	200	28	28093	1	0	0
208	2026-03-30T21:55:32Z	200	28	35118	1	0	0
209	2026-03-30T21:55:48Z	200	28	28143	1	0	0
210	2026-03-30T21:56:03Z	200	28	28210	1	0	0
211	2026-03-30T21:56:18Z	200	28	28252	1	0	0
212	2026-03-30T21:56:33Z	200	28	28213	1	0	0
213	2026-03-30T21:56:48Z	200	28	28127	1	0	0
214	2026-03-30T21:57:03Z	200	28	28128	1	0	0
215	2026-03-30T21:57:18Z	200	28	28213	1	0	0
216	2026-03-30T21:57:33Z	200	28	28252	1	0	0
217	2026-03-30T21:57:48Z	200	28	28227	1	0	0
218	2026-03-30T21:58:03Z	200	28	28138	1	0	0
219	2026-03-30T21:58:18Z	200	28	28188	1	0	0
220	2026-03-30T21:58:33Z	200	28	28162	1	0	0
221	2026-03-30T21:58:49Z	200	28	28104	1	0	0
222	2026-03-30T21:59:04Z	200	28	28137	1	0	0
223	2026-03-30T21:59:19Z	200	28	28173	1	0	0
224	2026-03-30T21:59:34Z	200	28	28262	1	0	0
225	2026-03-30T21:59:49Z	200	28	28249	1	0	0
226	2026-03-30T22:00:04Z	200	28	28251	1	0	0
227	2026-03-30T22:00:19Z	200	28	28356	1	0	0
228	2026-03-30T22:00:34Z	200	28	28426	1	0	0
229	2026-03-30T22:00:49Z	200	28	28337	1	0	0
230	2026-03-30T22:01:04Z	200	28	35261	1	0	0
231	2026-03-30T22:01:19Z	200	28	35316	1	0	0
232	2026-03-30T22:01:34Z	200	28	28198	1	0	0
233	2026-03-30T22:01:50Z	200	28	28214	1	0	0
234	2026-03-30T22:02:05Z	200	28	28125	1	0	0
235	2026-03-30T22:02:20Z	200	28	28246	1	0	0
236	2026-03-30T22:02:35Z	200	28	28201	1	0	0
237	2026-03-30T22:02:50Z	200	28	28268	1	0	0
238	2026-03-30T22:03:05Z	200	28	28256	1	0	0
239	2026-03-30T22:03:20Z	200	28	28230	1	0	0
240	2026-03-30T22:03:35Z	200	28	35338	1	0	0
