Id	User	Host	db	Command	Time	State	Info	Progress
4	dashmed	172.18.0.3:35680	dashmed_data	Sleep	3		NULL	0.000
5	dashmed	172.18.0.3:35696	dashmed_data	Sleep	2		NULL	0.000
6	dashmed	172.18.0.3:35708	dashmed_data	Sleep	1		NULL	0.000
